table_name,column_name,data_type,is_nullable,column_default
exercises,id,uuid,NO,gen_random_uuid()
exercises,name,character varying,NO,null
exercises,name_en,character varying,YES,null
exercises,category,character varying,NO,null
exercises,muscle_groups,ARRAY,NO,'{}'::text[]
exercises,muscle_group_details,jsonb,YES,null
exercises,equipment,character varying,NO,null
exercises,difficulty,character varying,NO,null
exercises,movement_pattern,character varying,YES,null
exercises,plane,character varying,YES,null
exercises,default_sets,integer,YES,null
exercises,default_reps_min,integer,YES,null
exercises,default_reps_max,integer,YES,null
exercises,default_rest_seconds,integer,YES,null
exercises,calories_per_minute,numeric,YES,null
exercises,instructions,text,YES,null
exercises,video_url,text,YES,null
exercises,image_url,text,YES,null
exercises,is_system,boolean,NO,false
exercises,created_by,uuid,YES,null
exercises,is_ai_generated,boolean,NO,false
exercises,usage_count,integer,NO,0
exercises,avg_rating,numeric,YES,null
exercises,created_at,timestamp with time zone,NO,now()
exercises,updated_at,timestamp with time zone,NO,now()
personal_records,id,uuid,NO,gen_random_uuid()
personal_records,user_id,uuid,NO,null
personal_records,exercise_id,uuid,NO,null
personal_records,record_type,character varying,NO,null
personal_records,weight_kg,numeric,YES,null
personal_records,reps,integer,YES,null
personal_records,volume_kg,numeric,YES,null
personal_records,achieved_at,timestamp with time zone,NO,now()
personal_records,session_id,uuid,YES,null
personal_records,is_current_pr,boolean,NO,true
personal_records,created_at,timestamp with time zone,NO,now()
plan_exercises,id,uuid,NO,gen_random_uuid()
plan_exercises,day_id,uuid,NO,null
plan_exercises,exercise_id,uuid,NO,null
plan_exercises,order_index,integer,NO,0
plan_exercises,target_sets,integer,NO,3
plan_exercises,target_reps_min,integer,YES,null
plan_exercises,target_reps_max,integer,YES,null
plan_exercises,target_weight_kg,numeric,YES,null
plan_exercises,target_rpe,integer,YES,null
plan_exercises,rest_seconds,integer,YES,90
plan_exercises,progression_rule,character varying,YES,null
plan_exercises,progression_step_kg,numeric,YES,null
plan_exercises,progression_step_percent,numeric,YES,null
plan_exercises,ai_adjustment_reason,text,YES,null
plan_exercises,notes,text,YES,null
plan_exercises,alternatives,ARRAY,YES,null
plan_exercises,created_at,timestamp with time zone,NO,now()
set_logs,id,uuid,NO,gen_random_uuid()
set_logs,session_id,uuid,NO,null
set_logs,plan_exercise_id,uuid,YES,null
set_logs,exercise_id,uuid,NO,null
set_logs,set_number,integer,NO,null
set_logs,reps_completed,integer,NO,null
set_logs,weight_kg,numeric,YES,null
set_logs,duration_seconds,integer,YES,null
set_logs,rpe,integer,YES,null
set_logs,is_warmup,boolean,NO,false
set_logs,is_dropset,boolean,NO,false
set_logs,is_failure,boolean,NO,false
set_logs,completed_at,timestamp with time zone,NO,now()
workout_days,id,uuid,NO,gen_random_uuid()
workout_days,plan_id,uuid,NO,null
workout_days,name,character varying,NO,null
workout_days,day_order,integer,NO,null
workout_days,focus_muscles,ARRAY,NO,'{}'::text[]
workout_days,day_type,character varying,NO,null
workout_days,rest_day,boolean,NO,false
workout_days,estimated_duration_minutes,integer,YES,null
workout_days,created_at,timestamp with time zone,NO,now()
workout_plans,id,uuid,NO,gen_random_uuid()
workout_plans,user_id,uuid,YES,null
workout_plans,name,character varying,NO,null
workout_plans,description,text,YES,null
workout_plans,ai_prompt,text,YES,null
workout_plans,ai_model_version,character varying,YES,null
workout_plans,is_ai_generated,boolean,NO,false
workout_plans,goal,character varying,YES,null
workout_plans,experience_level,character varying,YES,null
workout_plans,frequency_per_week,integer,NO,null
workout_plans,duration_weeks,integer,YES,null
workout_plans,time_per_session_minutes,integer,YES,null
workout_plans,is_active,boolean,NO,false
workout_plans,is_template,boolean,NO,false
workout_plans,is_system_template,boolean,NO,false
workout_plans,completed_sessions,integer,NO,0
workout_plans,created_at,timestamp with time zone,NO,now()
workout_plans,updated_at,timestamp with time zone,NO,now()
workout_sessions,id,uuid,NO,gen_random_uuid()
workout_sessions,user_id,uuid,NO,null
workout_sessions,plan_id,uuid,YES,null
workout_sessions,day_id,uuid,YES,null
workout_sessions,session_name,character varying,NO,null
workout_sessions,started_at,timestamp with time zone,NO,now()
workout_sessions,completed_at,timestamp with time zone,YES,null
workout_sessions,status,character varying,NO,'in_progress'::character varying
workout_sessions,total_duration_minutes,integer,YES,null
workout_sessions,total_volume_kg,numeric,YES,null
workout_sessions,notes,text,YES,null
workout_sessions,feeling_rating,integer,YES,null
workout_sessions,created_at,timestamp with time zone,NO,now()
